Full Name,First Name,Last Name,Title of Presentation,Appeared,Paper Title,Link To Paper,Experiment Type,No Publications,Corresponding Chapter,Corresponding Chapter.1,Added to Zotero,Worker(s),Checked by RP,Action Needed
Anna Rinaldi,anna,rinaldi,,No,,https://www.scirp.org/html/4-2700873_36834.htm,,x,,,FALSE,,TRUE,no exp
Anne Carpenter,anne,carpenter,"""Willingness to Pay Sovereign Debt: Does Type of Renegotiation Clause Matter?""",No,,NO PAPER FOUND,,x,,,FALSE,,TRUE,no exp
Antonia Grohmann,antonia,grohmann,Predicting choice adverse and choice loving behavior in a field expreiment with acrtual shoppers,Yes,,NO PAPER FOUND,,,,,,,,
Antonio Campos,antonio,campos,"""Private School Entry, Sorting, and the Performance of Public Schools: Evidence from Pakistan""",No,,https://books.google.com/books?hl=en&lr=&id=Xim7DwAAQBAJ&oi=fnd&pg=PA51&dq=info:4vZYru1DgUAJ:scholar.google.com&ots=nYlXJV9jgK&sig=6hPf61xPXTJG_YZFDba0y18vqio,,x,,,FALSE,,TRUE,
Antonio Penta,antonio,penta,"""Social preferences and image concerns in public good contributions""",No,,NO PAPER FOUND,,x,,,FALSE,,TRUE,no exp
Anya Samek,anya,samek,,Yes,,https://www.cambridge.org/core/journals/journal-of-pension-economics-and-finance/article/visual-tools-and-narratives-new-ways-to-improve-financial-literacy/6CA7426CF88099809C1460076C8357CD,,,,,,,,
Ao Wang,ao,wang,â€œAn Experiment on Cartel Leniencyâ€,No,,https://arxiv.org/abs/2307.09283,,x,,,FALSE,,TRUE,no exp
Arno Riedl,arno,riedl,"""Anticipatory Anxiety and Wishful Thinking""",Yes,,https://academic.oup.com/qje/article-abstract/108/2/437/1917560,,,,,,,,
Arthur Schneider,arthur,schneider,â€œRisk & Regret-Averse Bidders in Sealed-Bid Auctionsâ€,No,,NO PAPER FOUND,,x,,,FALSE,,TRUE,
Arthur Schram,arthur,schram,â€œDecision Making with Recommendationsâ€,Yes,,NO PAPER FOUND,,,,,,,,
Arthur SCHRAM,arthur,schram,â€œGive Ideology a (Second) Chance: An Experimental Analysis of Ideology in Repeated Social Dilemmasâ€,Yes,,NO PAPER FOUND,,,,,,,,
Ashlesha Datar,ashlesha,datar,"â€œImperfect Monitoring: A Laboratory Experiment,â€ ",No,,https://jamanetwork.com/journals/jamapediatrics/article-abstract/2668504,,x,,,FALSE,,TRUE,no exp
Astrid Gamba,astrid,gamba,Charitable giving and donors' profile: an experimental investigation,Yes,,NO PAPER FOUND,,,,,,,,
Atiyeh Yeganloo,atiyeh,yeganloo,"""The roots of cooperation""",No,,NO PAPER FOUND,,x,,,FALSE,,TRUE,
Audrey Hu,audrey,hu,"""Did the Ice Bucket Challenge Drain the Philanthropic Reservoir?: An Investigation Using A Real-Donation Lab Experiment""",No,,NO PAPER FOUND,,x,,,FALSE,,TRUE,no exp
Austin Bradley,austin,bradley,"""Fostering trust""",No,,"NO LINK FOUND, PAPER: Novel structural modes of multinuclear transition metal carboxylates with NO exogenous ligands.",,x,,,FALSE,,TRUE,
Axel Ockenfels,axel,ockenfels,"""Addressing the Global Learning Crisis: Nurturing Curiosity in the Classroom""",Yes,,https://academic.oup.com/ej/article-abstract/115/506/1054/5089410,,,,,,,,
Ayman Farahat,ayman,farahat,"""Sacrifice. An Experiment on the Political Economy of Extreme Intergroup Punishment""",No,,NO PAPER FOUND,,x,,,FALSE,,TRUE,
B. Douglas Bernheim,b.,bernheim,Preferences for redistribution in ethnically heterogeneous groups,Yes,,NO PAPER FOUND,,,,,,,,
B. Erin Fairweather,b.,fairweather,Voice Effects on Generosity towards an independent Decision Maker : Experimental Evidence,No,,NO PAPER FOUND,,x,,,FALSE,,TRUE,no exp
Bart Wilson,bart,wilson,,Yes,,https://journals.sagepub.com/doi/abs/10.1177/01461672012712009,,,,,,,,
Bei Zhang,bei,zhang,Choice between trust games with different multipliers and social distance: A virtual world experiment,No,,NO PAPER FOUND,,x,,,FALSE,,TRUE,no exp
Ben Fitch-Fleischmann,ben,fitch-fleischmann,Beyond fictitious play beliefs: Incorporating pattern recognition and similarity matching,No,,NO PAPER FOUND,,,,,FALSE,,TRUE,no exp
Ben Greiner,ben,greiner,Anchoring in ultimatum bargaining: The effects of competition and granularity,Yes,,https://mpra.ub.uni-muenchen.de/id/eprint/13513,,,,,,,,
Ben Grenier,ben,grenier,Does the behavior of my neighbors matter? Tax compliance and spillover effects in networks,No,,NO PAPER FOUND,,,,,FALSE,,TRUE,"check name, can't find grenier but there's a ben greiner."
Ben Grodeck,ben,grodeck,"""A Simple Experiment on Simple Bayesian Persuasion""",Yes,,https://www.taylorfrancis.com/chapters/edit/10.4324/9781003301424-4/concrete-abstract-philipp-schoenegger-ben-grodeck,,,,,,,,
Benjamin CHIAO,benjamin,chiao,Belief Learning in an Unstable Infinite Game,No,Open innovation and organizational features: An experimental investigation - ScienceDirect,NO PAPER FOUND,Lab,,,Ch 3,FALSE,,TRUE,unsure of where to put it can't find this paper online
Benjamin Enke,benjamin,enke,"""Do Tax Deferred Accounts Improve Lifecycle Savings?""",No,Cognitive Biases: Mistakes or Missing Stakes? | The Review of Economics and Statistics | MIT Press,https://academic.oup.com/qje/article-abstract/133/4/1645/5025666,Lab,,19 incentives,,FALSE,,TRUE,
Benjamin Ho,benjamin,ho,Trustees and agents in corporate governance,No,Toward An Understanding of the Economics of Apologies: Evidence from a Large-Scale Natural Field Experiment | The Economic Journal | Oxford Academic (oup.com),https://www.nature.com/articles/s41562-017-0142,NFE,,7 - heterogeneity and moderation,17 - ethics,FALSE,,TRUE,
Benjamin Roth,benjamin,roth,Letting the Briber Go Free: An Experiment on Mitigating Harassment Bribes,No,"Does Good Advice Come Cheap? â€“â€“ On the Assessment of Risk Preferences in the Lab and the Field by Andrea Leuermann, Benjamin Roth :: SSRN",NO PAPER FOUND,AFE,,22 - preferences and beliefs,,FALSE,,TRUE,
Berenika Tuzilova,berenika,tuzilova,"""Enhancing tax compliance by increasing information salience: Natural field experiment""",No,,NO PAPER FOUND,,,,,FALSE,,TRUE,no paper
Bernard Balleine,bernard,balleine,An experimental study of gender differences in a matrilineal society,No,Human and Rodent Homologies in Action Control: Corticostriatal Determinants of Goal-Directed and Habitual Action | Neuropsychopharmacology (nature.com),NO PAPER FOUND,Lab,,,,FALSE,,TRUE,"not an econ guy, ignore"
Bernard RUFFIEUX,bernard,ruffieux,How voluntary agreements resolve social dilemmas,No,Environmental Labelling and Consumption Changes: A Food Choice Experiment | Environmental and Resource Economics (springer.com),NO PAPER FOUND,FFE,,ch 3 internal validity,ch - 16 generalizability and scaling,FALSE,,TRUE,
Bernd IRLENBUSCH,bernd,irlenbusch,â€œCan Context Effects Mitigate the Free-Riding Behavior That Leads to Negative Externalities? An Experimental Investigationâ€,No,An experimental test of design alternatives for the British 3G/UMTS auction - ScienceDirect,https://www.science.org/doi/abs/10.1126/science.1123633,Lab,,ch 15 building scientific knowledge,,FALSE,,TRUE,
Bettina ROCKENBACH,bettina,rockenbach,â€œIncreasing Employeesâ€™ Work-Related Stability in the Labâ€,No,Direct and indirect punishment among strangers in the field | PNAS,NO PAPER FOUND,NFE,,ch 3 internal validity,18 ethics,FALSE,,TRUE,
Bilal Kchouri,bilal,kchouri,,No,Lying for Money: The Role of Religion by bilal ksh :: SSRN,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4325957,Lab,,ch 4 statistical conclusion validity,18 ethics,FALSE,,TRUE,
Billur Aksoy,billur,aksoy,"""Overconfidence and Public Intoxication Arrest: Evidence from a University Town Police Log""",Yes,,https://www.sciencedirect.com/science/article/pii/S0167268119302148,,,,,,,,
Binh Le,binh,le,,No,,NO PAPER FOUND,,,,,FALSE,,TRUE,no exp
Bjoern Bartling,bjoern,bartling,"""Do people anticipate loss aversion in games?""",No,,https://academic.oup.com/restud/article-abstract/79/1/67/1565258,,,,,FALSE,,FALSE,all these bjorn bartlings are the same guy
Bjorn-Atle Reme,bjorn-atle,reme,Social motives in intergroup conflict and cooperation,No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Blanca Tena Estrada,blanca,estrada,Comparisons of Two Catch-Quota Management Regimes: An Experimental Investigation,No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Blaz Zakelj,blaz,zakelj,Strategic Complexity and Cooperation: An Experimental Study,No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Bodo STURM,bodo,sturm,Sick pay provision in experimental labor markets,No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Bohan Ye,bohan,ye,â€œCostly Verification and Commitment in Persuasionâ€,No,,"NO LINK FOUND, PAPER: Midiendo las emociones en la era digital",,,,,FALSE,,FALSE,
Boon Han Koh,boon,koh,"""Agenda-Setting Power in Legislative Bargaining""",No,,https://www.sciencedirect.com/science/article/pii/S001429211730209X,,,,,FALSE,,FALSE,
Bora Lancee,bora,lancee,"""Non-clairvoyant Dynamic Mechanism Design: Experimental Evidence""",Yes,,https://www.sciencedirect.com/science/article/pii/S0167268123002937,,,,,,,,
Boris Ginzburg,boris,ginzburg,On the Relational Aspects of Trustworthiness: Results from a Laboratory Experiment,No,,https://www.sciencedirect.com/science/article/pii/S0047272721001912,,,,,FALSE,,FALSE,
Boris WIECZOREK,boris,wieczorek,,No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Bouke Klein Teeselink,bouke,teeselink,"""Presidential Approval Crowds Out Charitable Donations""",No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Boyu Zhang,boyu,zhang,mTree Microeconomic Systems for simulations and experiments,No,,https://ieeexplore.ieee.org/abstract/document/8354792/,,,,,FALSE,,FALSE,
Bram Cadsby,bram,cadsby,Sabotage in Tournaments: Evidence from a Natural Experiment,No,,https://journals.aom.org/doi/abs/10.5465/amj.2007.24634448,,,,,FALSE,,FALSE,
Brandon Cushing-Daniels,brandon,cushing-daniels,â€œWhat Motivates Teams?: Large- scale Experimental Evidence from Workers and Academic Expertsâ€,No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Braxton Gately,braxton,gately,,No,,https://search.proquest.com/openview/e04bee275154d64d602dedb386c8e96b/1?pq-origsite=gscholar&cbl=18750&diss=y,,,,,FALSE,,FALSE,
Brendan Cushing-Daniels,brendan,cushing-daniels,"""Confidence, Self-Selection and Bias in the Aggregate""",No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Brent Hickman,brent,hickman,"""Freedom of Choice vs. High Wages - Evidence from a Gift Exchange Experiment""",Yes,,NO PAPER FOUND,,,,,,,,
Brett Williams,brett,williams,"""Preference and inconsistency in decision making a model combining binary choice with WTP/A range data""",No,,https://search.proquest.com/openview/f8e07f397fbf5c45828ba6bbf9ae66dc/1?pq-origsite=gscholar&cbl=18750&diss=y,,,,,FALSE,,FALSE,
Brian Jabarian,brian,jabarian,"""A Two-Ball Ellsberg Experiment: Experiment Evidence""",No,,https://www.nber.org/papers/w31679,,,,,FALSE,,FALSE,
Brian Rogers,brian,rogers,Spite and Counter-spite in Auctions,No,,https://pubs.aip.org/aip/apl/article/85/14/2971/327031,,,,,FALSE,,FALSE,
Brianna Halladay,brianna,halladay,"""Gender Perceptions of Common Real-Effort Tasks""",No,,https://www.sciencedirect.com/science/article/pii/S0167268116301779,,,,,FALSE,,FALSE,
Brice Corgnet,brice,corgnet,The dark side of experts: experimental evidence on the effect of asymmetric information in team decision- making,No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Brice MAGDALOU,brice,magdalou,Preferences for instant gratification: An experiment with children of different age groups,No,,https://hal.umontpellier.fr/hal-02498354,,,,,FALSE,,FALSE,
Brice Magdalou,brice,magdalou,Is collusion easier for bidders in sequential than in simultaneous multi-unit auctions?,No,,https://hal.umontpellier.fr/hal-02498354,,,,,FALSE,,FALSE,
Brit Grosskopf,brit,grosskopf,â€œDo Minimum Wage Hikes Exacerbate Racial Differences in Hiring?â€,No,,https://link.springer.com/article/10.1023/A:1025305020751,,,,,FALSE,,FALSE,
Britta Butz,britta,butz,Business Drinking: Evidence from a Lab-in-the-field Experiment,No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Bruno BIAIS,bruno,biais,"""Trust in Private and Common Property Experiments: Effects of Stronger Property Right Entitlementsâ€ ",No,,https://academic.oup.com/restud/article-abstract/72/2/287/1556009,,,,,FALSE,,FALSE,
Bryan McCannon,bryan,mccannon,"Sanctioning, Selection and Pivotality - Theory and Experimental Results",No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
C. Monica Capra,c.,capra,"""Validating Measures of Individual Differences in Risk Attitudes under Prospect Theory""",No,,https://royalsocietypublishing.org/doi/abs/10.1098/rstb.2011.0262,,,,,FALSE,,FALSE,
Ca' Foscari,ca',foscari,"""Exploring the Intensity of Higher""",No,,https://bpspsychub.onlinelibrary.wiley.com/doi/abs/10.1111/j.2044-8295.1972.tb01287.x,,,,,FALSE,,FALSE,
Calvin Blackwell,calvin,blackwell,Experiments over the unit square,No,,https://www.sciencedirect.com/science/article/pii/S0167268102001786,,,,,FALSE,,FALSE,
Cameron Belton,cameron,belton,Anger and Broken Promises,No,,https://www.sciencedirect.com/science/article/pii/S0277953620306973,,,,,FALSE,,FALSE,
Camila Galindo,camila,galindo,"""Effects of Supportive Leadership Behaviors on Work Satisfaction, Engagement and Performance: An Experimental Field Investigation""",No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Camila Paleo,camila,paleo,,No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Camille CORNAND,camille,cornand,â€œFeasibility of Using the Method of MacCrimmon and Toda to Characterize Social Preferencesâ€,No,,https://link.springer.com/article/10.1007/s10683-013-9357-9,,,,,FALSE,,FALSE,
Camillo Padoa-Schioppa,camillo,padoa-schioppa,"Asset framing, portfolio constraints and payoff opportunity",No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Camilo Gomez,camilo,gomez,Clustering Standard Errors at the 'Session' Level,No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Carina Hausladen,carina,hausladen,Whistleblowing and Tax Evasion: Experimental Evidence,No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Carl Mellstrom,carl,mellstrom,"Investment, resolution of risk, and the role of affect",No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Carles Sola,carles,sola,"""Dynamic Curse: An Experimental Investigation""",No,,https://www.sciencedirect.com/science/article/pii/S0899825600908182,,,,,FALSE,,FALSE,
Carlos Cueva,carlos,cueva,An experimental test of a simple behavioural model of lying aversion,No,,https://www.nature.com/articles/srep11206,,,,,FALSE,,FALSE,
Carlos Oliveira,carlos,oliveira,"""How is the Minimum Wage Shaping the Wage Distribution: Bite, Spillovers, and Wage Inequality""",No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Carlos Oyarzun,carlos,oyarzun,"""Convex Time Budgets and Individual Discount Rates in the Long Run""",No,,https://www.sciencedirect.com/science/article/pii/S0014292117301125,,,,,FALSE,,FALSE,
Carlos Sola,carlos,sola,"Experimental evidence on inflation, expectation formation",No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Carmen Wang,carmen,wang,"Legitimate Authority, Procedural Fairness, and Communication: A Public Goods Experiment",Yes,,https://academic.oup.com/rfs/article-abstract/32/6/2107/5106044,,,,,,,,
Carmit Segal,carmit,segal,Technology Adoption in the Presence of Network Externalities: A Web-Based Classroom Game,No,,https://pubsonline.informs.org/doi/abs/10.1287/mnsc.1110.1509,,,,,FALSE,,FALSE,
Carol Stockman,carol,stockman,The JMarkets Experimental Software,No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Carolina Lopez,carolina,lopez,"""Motivated Beliefs in Higher Education""",No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Caroline Stein,caroline,stein,Framing Effects in Intertemporal Choice: A Nudge Experiment,No,,"NO LINK FOUND, PAPER: Presencia de Centros de Especialidades OdontolÃ³gicas y su relaciÃ³n con la realizaciÃ³n de exodoncias en la red de atenciÃ³n de salud bucal en Brasil",,,,,FALSE,,FALSE,
Caroline von Bose,caroline,bose,"Why join teams? Revenue sharing, communication and teaching",No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Caroline Zhang,caroline,zhang,,No,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3809922,,,,,FALSE,,FALSE,
Carrie Wenjing Xu,carrie,xu,â€œThe Use of Non-monotonic Contracts in a Single Period Game: An Experimental Investigationâ€,No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Carrie Xu,carrie,xu,A New Approach to Treatment Assignment for One and Multiple Treatment Groups,No,,https://www.atsjournals.org/doi/abs/10.1165/rcmb.2013-0133OC,,,,,FALSE,,FALSE,
Cary Deck,cary,deck,"""Convergence in Complementary Contests""",No,,https://www.sciencedirect.com/science/article/pii/S0014292115000690,,,,,FALSE,,FALSE,
Caterina Giannetti,caterina,giannetti,"""Signaling Competitive Traits """,No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Catherine Eckel,catherine,eckel,"""Climate policies under income inequality""",Yes,,https://www.sciencedirect.com/science/article/pii/S1574072207001138,,,,,,,,
Catherine Michaud-Leclerc,catherine,michaud-leclerc,"""Haggling for a Smoke: A Natural Field Experiment on Price Discrimination in Mexico City's Informal Cigarette Markets""",No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Catherine Porter,catherine,porter,The Role of Volunteer Leaders in Fundraising,No,,https://www.aeaweb.org/articles?id=10.1257/app.20180426,,,,,FALSE,,FALSE,
Catherine Weinberger,catherine,weinberger,,No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Catia Batista,catia,batista,Panel,No,,https://www.sciencedirect.com/science/article/pii/S0737080615005067,,,,,FALSE,,FALSE,
Cavit GÃ¶rkem Destan,cavit,destan,"""Cooperation is unaffected by the threat of severe adverse events in large Public Goods Games""",No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Ceren Ay,ceren,ay,"The Dynamics of Social Identity, Inequality and Redistribution",No,,https://www.sciencedirect.com/science/article/pii/S0304401717304120,,,,,FALSE,,FALSE,
Ceren Bengu Cibik,ceren,cibik,Opting In to Dictator Games: The effect of voluntary vulnerability on dictator giving,No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Cesar Mantilla,cesar,mantilla,"""Concepts and calculations: gender differences in willingness to guess""",No,,https://www.frontiersin.org/articles/10.3389/fnbeh.2015.00033/full,,,,,FALSE,,FALSE,
Cesar Martinelli,cesar,martinelli,Manipulation and (mis)trust in prediction markets,No,,https://www.sciencedirect.com/science/article/pii/S0167268116302931,,,,,FALSE,,FALSE,
Chadd Ian,chadd,ian,,No,,https://link.springer.com/article/10.1007/s10683-020-09687-3,,,,,FALSE,,FALSE,
Chaikal Nuryakin,chaikal,nuryakin,Intuitive generosity and error prone inference from decision time,No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Chang YU,chang,yu,â€œInnovation Platforms and Absorptive Capacity: Experiments on R&Dâ€,No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Changcheng Song,changcheng,song,?,No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Changkuk Im,changkuk,im,,No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Chao Jiang,chao,jiang,The Effect of Pre-Play Communication in Ultimatum Bargaining with Asymmetric Information about Pie Sizes,No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Charles Bellemare,charles,bellemare,Is The Discount Rate A Stable Preference Parameter?,Yes,,NO PAPER FOUND,,,,,,,,
Charles Holt,charles,holt,"""Exploring honest opinions on homosexual marriage amid the limits of social desirability""",Yes,,https://pubs.aeaweb.org/doi/pdf/10.1257/000282802762024700,,,,,,,,
Charles Noussair,charles,noussair,"""Costly Verification and Commitment in Persuasion""",Yes,,https://onlinelibrary.wiley.com/doi/abs/10.1111/1468-0262.00222,,,,,,,,
Charles NOUSSAIR,charles,noussair,Beauty contest in the brain: The neural basis of strategic thinking,Yes,,https://onlinelibrary.wiley.com/doi/abs/10.1111/1468-0262.00222,,,,,,,,
Charles Plott,charles,plott,"â€œOn the Interpretation of Giving in Dictator Games when the Recipient is a Charity""",Yes,,NO PAPER FOUND,,,,,,,,
Charles Sola,charles,sola,An Experimental Investigation of Procurement Auctions with Asymmetric Sellers,No,,NO PAPER FOUND,,,,,FALSE,,FALSE,
Charles Sprenger,charles,sprenger,"""Negotiating With The Future""",Yes,,https://www.aeaweb.org/articles?id=10.1257/app.2.1.193,,,,,,,,
Charlotte Duke,charlotte,duke,Analyzing buyer-seller networks,No,,"NO LINK FOUND, PAPER: Diagnostic Performance of Lung Cancer Screening On Low Dose CT",,,,,FALSE,,FALSE,
Charlotte Ringdal,charlotte,ringdal,The Incentive Effect of Coarse and Refined Reporting: Theory and Experiment,No,,,,,,,FALSE,,FALSE,
Charlotte Saucet,charlotte,saucet,Discount Window Stigma: An Experimental Investigation,No,,,,,,,FALSE,,FALSE,
Charmaine Tan,charmaine,tan,,No,,,,,,,FALSE,,FALSE,
Chau Nguyen,chau,nguyen,"""Learning in a Bandit Game and the Technology Choice of Farmers in a Developing Country""",No,,,,,,,FALSE,,FALSE,
Che Sun,che,sun,,No,,,,,,,FALSE,,FALSE,
Chen Kang,chen,kang,Constructing gender in dictator games,No,,,,,,,FALSE,,FALSE,
Chen Wei,chen,wei,"""An Experimental Study of Career Concerns in Groups""",Yes,,,,,,,,,,
Chen Wu,chen,wu,"""When the agency wants too much: Experimental evidence on unfair audits and tax compliance""",No,,,,,,,FALSE,,FALSE,
Cheng-Tse Lin,cheng-tse,lin,Legislative Bargaining with Teams,No,,,,,,,FALSE,,FALSE,
Chenna Reddy Cotla,chenna,cotla,"""Testing for the Ratchet Effect: Evidence from a Real-Effort Work Task""",No,,,,,,,FALSE,,FALSE,
Chenyang Xu,chenyang,xu,"""Studying Oppression in the Lab""",No,,,,,,,FALSE,,FALSE,
