,Full Name,First Name,Last Name,Title of Presentation,Appeared,Paper Title,Link To Paper,Experiment Type,No Publications,Corresponding Chapter,Corresponding Chapter.1,Added to Zotero,Worker(s),Checked by RP,Action Needed
75,Blaz Zakelj,blaz,zakelj,Strategic Complexity and Cooperation: An Experimental Study,No,,NO PAPER FOUND,,,,,False,,False,
76,Bodo STURM,bodo,sturm,Sick pay provision in experimental labor markets,No,,NO PAPER FOUND,,,,,False,,False,
77,Bohan Ye,bohan,ye,â€œCostly Verification and Commitment in Persuasionâ€,No,,"NO LINK FOUND, PAPER: Midiendo las emociones en la era digital",,,,,False,,False,
78,Boon Han Koh,boon,koh,"""Agenda-Setting Power in Legislative Bargaining""",No,,https://www.sciencedirect.com/science/article/pii/S001429211730209X,,,,,False,,False,
79,Bora Lancee,bora,lancee,"""Non-clairvoyant Dynamic Mechanism Design: Experimental Evidence""",Yes,,https://www.sciencedirect.com/science/article/pii/S0167268123002937,,,,,,,,
80,Boris Ginzburg,boris,ginzburg,On the Relational Aspects of Trustworthiness: Results from a Laboratory Experiment,No,,https://www.sciencedirect.com/science/article/pii/S0047272721001912,,,,,False,,False,
81,Boris WIECZOREK,boris,wieczorek,,No,,NO PAPER FOUND,,,,,False,,False,
82,Bouke Klein Teeselink,bouke,teeselink,"""Presidential Approval Crowds Out Charitable Donations""",No,,NO PAPER FOUND,,,,,False,,False,
83,Boyu Zhang,boyu,zhang,mTree Microeconomic Systems for simulations and experiments,No,,https://ieeexplore.ieee.org/abstract/document/8354792/,,,,,False,,False,
84,Bram Cadsby,bram,cadsby,Sabotage in Tournaments: Evidence from a Natural Experiment,No,,https://journals.aom.org/doi/abs/10.5465/amj.2007.24634448,,,,,False,,False,
85,Brandon Cushing-Daniels,brandon,cushing-daniels,â€œWhat Motivates Teams?: Large- scale Experimental Evidence from Workers and Academic Expertsâ€,No,,NO PAPER FOUND,,,,,False,,False,
86,Braxton Gately,braxton,gately,,No,,https://search.proquest.com/openview/e04bee275154d64d602dedb386c8e96b/1?pq-origsite=gscholar&cbl=18750&diss=y,,,,,False,,False,
87,Brendan Cushing-Daniels,brendan,cushing-daniels,"""Confidence, Self-Selection and Bias in the Aggregate""",No,,NO PAPER FOUND,,,,,False,,False,
88,Brent Hickman,brent,hickman,"""Freedom of Choice vs. High Wages - Evidence from a Gift Exchange Experiment""",Yes,,NO PAPER FOUND,,,,,,,,
89,Brett Williams,brett,williams,"""Preference and inconsistency in decision making a model combining binary choice with WTP/A range data""",No,,https://search.proquest.com/openview/f8e07f397fbf5c45828ba6bbf9ae66dc/1?pq-origsite=gscholar&cbl=18750&diss=y,,,,,False,,False,
90,Brian Jabarian,brian,jabarian,"""A Two-Ball Ellsberg Experiment: Experiment Evidence""",No,,https://www.nber.org/papers/w31679,,,,,False,,False,
91,Brian Rogers,brian,rogers,Spite and Counter-spite in Auctions,No,,https://pubs.aip.org/aip/apl/article/85/14/2971/327031,,,,,False,,False,
92,Brianna Halladay,brianna,halladay,"""Gender Perceptions of Common Real-Effort Tasks""",No,,https://www.sciencedirect.com/science/article/pii/S0167268116301779,,,,,False,,False,
93,Brice Corgnet,brice,corgnet,The dark side of experts: experimental evidence on the effect of asymmetric information in team decision- making,No,,NO PAPER FOUND,,,,,False,,False,
94,Brice MAGDALOU,brice,magdalou,Preferences for instant gratification: An experiment with children of different age groups,No,,https://hal.umontpellier.fr/hal-02498354,,,,,False,,False,
95,Brice Magdalou,brice,magdalou,Is collusion easier for bidders in sequential than in simultaneous multi-unit auctions?,No,,https://hal.umontpellier.fr/hal-02498354,,,,,False,,False,
96,Brit Grosskopf,brit,grosskopf,â€œDo Minimum Wage Hikes Exacerbate Racial Differences in Hiring?â€,No,,https://link.springer.com/article/10.1023/A:1025305020751,,,,,False,,False,
97,Britta Butz,britta,butz,Business Drinking: Evidence from a Lab-in-the-field Experiment,No,,NO PAPER FOUND,,,,,False,,False,
98,Bruno BIAIS,bruno,biais,"""Trust in Private and Common Property Experiments: Effects of Stronger Property Right Entitlementsâ€ ",No,,https://academic.oup.com/restud/article-abstract/72/2/287/1556009,,,,,False,,False,
99,Bryan McCannon,bryan,mccannon,"Sanctioning, Selection and Pivotality - Theory and Experimental Results",No,,NO PAPER FOUND,,,,,False,,False,
100,C. Monica Capra,c.,capra,"""Validating Measures of Individual Differences in Risk Attitudes under Prospect Theory""",No,,https://royalsocietypublishing.org/doi/abs/10.1098/rstb.2011.0262,,,,,False,,False,
101,Ca' Foscari,ca',foscari,"""Exploring the Intensity of Higher""",No,,https://bpspsychub.onlinelibrary.wiley.com/doi/abs/10.1111/j.2044-8295.1972.tb01287.x,,,,,False,,False,
102,Calvin Blackwell,calvin,blackwell,Experiments over the unit square,No,,https://www.sciencedirect.com/science/article/pii/S0167268102001786,,,,,False,,False,
103,Cameron Belton,cameron,belton,Anger and Broken Promises,No,,https://www.sciencedirect.com/science/article/pii/S0277953620306973,,,,,False,,False,
104,Camila Galindo,camila,galindo,"""Effects of Supportive Leadership Behaviors on Work Satisfaction, Engagement and Performance: An Experimental Field Investigation""",No,,NO PAPER FOUND,,,,,False,,False,
105,Camila Paleo,camila,paleo,,No,,NO PAPER FOUND,,,,,False,,False,
106,Camille CORNAND,camille,cornand,â€œFeasibility of Using the Method of MacCrimmon and Toda to Characterize Social Preferencesâ€,No,,https://link.springer.com/article/10.1007/s10683-013-9357-9,,,,,False,,False,
107,Camillo Padoa-Schioppa,camillo,padoa-schioppa,"Asset framing, portfolio constraints and payoff opportunity",No,,NO PAPER FOUND,,,,,False,,False,
108,Camilo Gomez,camilo,gomez,Clustering Standard Errors at the 'Session' Level,No,,NO PAPER FOUND,,,,,False,,False,
109,Carina Hausladen,carina,hausladen,Whistleblowing and Tax Evasion: Experimental Evidence,No,,NO PAPER FOUND,,,,,False,,False,
110,Carl Mellstrom,carl,mellstrom,"Investment, resolution of risk, and the role of affect",No,,NO PAPER FOUND,,,,,False,,False,
111,Carles Sola,carles,sola,"""Dynamic Curse: An Experimental Investigation""",No,,https://www.sciencedirect.com/science/article/pii/S0899825600908182,,,,,False,,False,
112,Carlos Cueva,carlos,cueva,An experimental test of a simple behavioural model of lying aversion,No,,https://www.nature.com/articles/srep11206,,,,,False,,False,
113,Carlos Oliveira,carlos,oliveira,"""How is the Minimum Wage Shaping the Wage Distribution: Bite, Spillovers, and Wage Inequality""",No,,NO PAPER FOUND,,,,,False,,False,
114,Carlos Oyarzun,carlos,oyarzun,"""Convex Time Budgets and Individual Discount Rates in the Long Run""",No,,https://www.sciencedirect.com/science/article/pii/S0014292117301125,,,,,False,,False,
115,Carlos Sola,carlos,sola,"Experimental evidence on inflation, expectation formation",No,,NO PAPER FOUND,,,,,False,,False,
116,Carmen Wang,carmen,wang,"Legitimate Authority, Procedural Fairness, and Communication: A Public Goods Experiment",Yes,,https://academic.oup.com/rfs/article-abstract/32/6/2107/5106044,,,,,,,,
117,Carmit Segal,carmit,segal,Technology Adoption in the Presence of Network Externalities: A Web-Based Classroom Game,No,,https://pubsonline.informs.org/doi/abs/10.1287/mnsc.1110.1509,,,,,False,,False,
118,Carol Stockman,carol,stockman,The JMarkets Experimental Software,No,,NO PAPER FOUND,,,,,False,,False,
119,Carolina Lopez,carolina,lopez,"""Motivated Beliefs in Higher Education""",No,,NO PAPER FOUND,,,,,False,,False,
120,Caroline Stein,caroline,stein,Framing Effects in Intertemporal Choice: A Nudge Experiment,No,,"NO LINK FOUND, PAPER: Presencia de Centros de Especialidades OdontolÃ³gicas y su relaciÃ³n con la realizaciÃ³n de exodoncias en la red de atenciÃ³n de salud bucal en Brasil",,,,,False,,False,
121,Caroline von Bose,caroline,bose,"Why join teams? Revenue sharing, communication and teaching",No,,NO PAPER FOUND,,,,,False,,False,
122,Caroline Zhang,caroline,zhang,,No,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3809922,,,,,False,,False,
123,Carrie Wenjing Xu,carrie,xu,â€œThe Use of Non-monotonic Contracts in a Single Period Game: An Experimental Investigationâ€,No,,NO PAPER FOUND,,,,,False,,False,
124,Carrie Xu,carrie,xu,A New Approach to Treatment Assignment for One and Multiple Treatment Groups,No,,https://www.atsjournals.org/doi/abs/10.1165/rcmb.2013-0133OC,,,,,False,,False,
125,Cary Deck,cary,deck,"""Convergence in Complementary Contests""",No,,https://www.sciencedirect.com/science/article/pii/S0014292115000690,,,,,False,,False,
126,Caterina Giannetti,caterina,giannetti,"""Signaling Competitive Traits """,No,,NO PAPER FOUND,,,,,False,,False,
127,Catherine Eckel,catherine,eckel,"""Climate policies under income inequality""",Yes,,https://www.sciencedirect.com/science/article/pii/S1574072207001138,,,,,,,,
128,Catherine Michaud-Leclerc,catherine,michaud-leclerc,"""Haggling for a Smoke: A Natural Field Experiment on Price Discrimination in Mexico City's Informal Cigarette Markets""",No,,NO PAPER FOUND,,,,,False,,False,
129,Catherine Porter,catherine,porter,The Role of Volunteer Leaders in Fundraising,No,,https://www.aeaweb.org/articles?id=10.1257/app.20180426,,,,,False,,False,
130,Catherine Weinberger,catherine,weinberger,,No,,NO PAPER FOUND,,,,,False,,False,
131,Catia Batista,catia,batista,Panel,No,,https://www.sciencedirect.com/science/article/pii/S0737080615005067,,,,,False,,False,
132,Cavit GÃ¶rkem Destan,cavit,destan,"""Cooperation is unaffected by the threat of severe adverse events in large Public Goods Games""",No,,NO PAPER FOUND,,,,,False,,False,
133,Ceren Ay,ceren,ay,"The Dynamics of Social Identity, Inequality and Redistribution",No,,https://www.sciencedirect.com/science/article/pii/S0304401717304120,,,,,False,,False,
134,Ceren Bengu Cibik,ceren,cibik,Opting In to Dictator Games: The effect of voluntary vulnerability on dictator giving,No,,NO PAPER FOUND,,,,,False,,False,
135,Cesar Mantilla,cesar,mantilla,"""Concepts and calculations: gender differences in willingness to guess""",No,,https://www.frontiersin.org/articles/10.3389/fnbeh.2015.00033/full,,,,,False,,False,
136,Cesar Martinelli,cesar,martinelli,Manipulation and (mis)trust in prediction markets,No,,https://www.sciencedirect.com/science/article/pii/S0167268116302931,,,,,False,,False,
137,Chadd Ian,chadd,ian,,No,,https://link.springer.com/article/10.1007/s10683-020-09687-3,,,,,False,,False,
138,Chaikal Nuryakin,chaikal,nuryakin,Intuitive generosity and error prone inference from decision time,No,,NO PAPER FOUND,,,,,False,,False,
139,Chang YU,chang,yu,â€œInnovation Platforms and Absorptive Capacity: Experiments on R&Dâ€,No,,NO PAPER FOUND,,,,,False,,False,
140,Changcheng Song,changcheng,song,?,No,,NO PAPER FOUND,,,,,False,,False,
141,Changkuk Im,changkuk,im,,No,,NO PAPER FOUND,,,,,False,,False,
142,Chao Jiang,chao,jiang,The Effect of Pre-Play Communication in Ultimatum Bargaining with Asymmetric Information about Pie Sizes,No,,NO PAPER FOUND,,,,,False,,False,
143,Charles Bellemare,charles,bellemare,Is The Discount Rate A Stable Preference Parameter?,Yes,,NO PAPER FOUND,,,,,,,,
144,Charles Holt,charles,holt,"""Exploring honest opinions on homosexual marriage amid the limits of social desirability""",Yes,,https://pubs.aeaweb.org/doi/pdf/10.1257/000282802762024700,,,,,,,,
145,Charles Noussair,charles,noussair,"""Costly Verification and Commitment in Persuasion""",Yes,,https://onlinelibrary.wiley.com/doi/abs/10.1111/1468-0262.00222,,,,,,,,
146,Charles NOUSSAIR,charles,noussair,Beauty contest in the brain: The neural basis of strategic thinking,Yes,,https://onlinelibrary.wiley.com/doi/abs/10.1111/1468-0262.00222,,,,,,,,
147,Charles Plott,charles,plott,"â€œOn the Interpretation of Giving in Dictator Games when the Recipient is a Charity""",Yes,,NO PAPER FOUND,,,,,,,,
148,Charles Sola,charles,sola,An Experimental Investigation of Procurement Auctions with Asymmetric Sellers,No,,NO PAPER FOUND,,,,,False,,False,
149,Charles Sprenger,charles,sprenger,"""Negotiating With The Future""",Yes,,https://www.aeaweb.org/articles?id=10.1257/app.2.1.193,,,,,,,,
150,Charlotte Duke,charlotte,duke,Analyzing buyer-seller networks,No,,"NO LINK FOUND, PAPER: Diagnostic Performance of Lung Cancer Screening On Low Dose CT",,,,,False,,False,
151,Charlotte Ringdal,charlotte,ringdal,The Incentive Effect of Coarse and Refined Reporting: Theory and Experiment,No,,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecca.12353,,,,,False,,False,
152,Charlotte Saucet,charlotte,saucet,Discount Window Stigma: An Experimental Investigation,No,,NO PAPER FOUND,,,,,False,,False,
153,Charmaine Tan,charmaine,tan,,No,,NO PAPER FOUND,,,,,False,,False,
154,Chau Nguyen,chau,nguyen,"""Learning in a Bandit Game and the Technology Choice of Farmers in a Developing Country""",No,,NO PAPER FOUND,,,,,False,,False,
155,Che Sun,che,sun,,No,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2968823,,,,,False,,False,
156,Chen Kang,chen,kang,Constructing gender in dictator games,No,,https://iopscience.iop.org/article/10.1088/0029-5515/53/10/104014/meta,,,,,False,,False,
157,Chen Wei,chen,wei,"""An Experimental Study of Career Concerns in Groups""",Yes,,https://www.pnas.org/doi/abs/10.1073/pnas.1618161114,,,,,,,,
158,Chen Wu,chen,wu,"""When the agency wants too much: Experimental evidence on unfair audits and tax compliance""",No,,"NO LINK FOUND, PAPER: Railway/highway settlement measuring device",,,,,False,,False,
159,Cheng-Tse Lin,cheng-tse,lin,Legislative Bargaining with Teams,No,,NO PAPER FOUND,,,,,False,,False,
160,Chenna Reddy Cotla,chenna,cotla,"""Testing for the Ratchet Effect: Evidence from a Real-Effort Work Task""",No,,https://link.springer.com/chapter/10.1007/978-4-431-54847-8_20,,,,,False,,False,
161,Chenyang Xu,chenyang,xu,"""Studying Oppression in the Lab""",No,,NO PAPER FOUND,,,,,False,,False,
162,Chetan Dave,chetan,dave,Three Very Simple Games (And What It Takes to Solve Them),No,,https://link.springer.com/article/10.1007/s11166-010-9103-z,,,,,False,,False,
163,Chew Soo Hong,chew,hong,Neuro entrepreneurship: The hormones of a successful entrepreneur & corporate leader,No,,NO PAPER FOUND,,,,,False,,False,
